Instance name,vCPUs,Memory,Network Performance,Storage,On-Demand Hourly Cost,CurrentGeneration,Potential Effective Hourly Cost (Savings %)
c5d.9xlarge,36,72 GiB,10 Gigabit,1 x 900 NVMe SSD,1.728,Yes,0.6243 (64%)
g4ad.8xlarge,32,128 GiB,15 Gigabit,1200 GB NVMe SSD,1.734,Yes,0.7610 (56%)
c7g.12xlarge,48,96 GiB,22500 Megabit,EBS only,1.7342,Yes,0.6645 (62%)
m5d.8xlarge,32,128 GiB,10 Gigabit,2 x 600 NVMe SSD,1.808,Yes,0.6798 (62%)
r5a.8xlarge,32,256 GiB,Up to 10 Gigabit,EBS only,1.808,Yes,0.6798 (62%)
c6in.8xlarge,32,64 GiB,50000 Megabit,EBS only,1.8144,Yes,0.5734 (68%)
r6a.8xlarge,32,256 GiB,12500 Megabit,EBS only,1.8144,Yes,0.7163 (61%)
c6a.12xlarge,48,96 GiB,18750 Megabit,EBS only,1.836,Yes,0.7035 (62%)
c6gd.12xlarge,48,96 GiB,20 Gigabit,2 x 1425 NVMe SSD,1.8432,Yes,0.6930 (62%)
r6gd.8xlarge,32,256 GiB,12 Gigabit,1 x 1900 NVMe SSD,1.8432,Yes,0.6930 (62%)
m6g.12xlarge,48,192 GiB,20 Gigabit,EBS only,1.848,Yes,0.6992 (62%)
c5a.12xlarge,48,96 GiB,12 Gigabit,EBS only,1.848,Yes,0.6949 (62%)
m7a.8xlarge,32,128 GiB,12500 Megabit,EBS only,1.85472,Yes,0.7322 (61%)
h1.8xlarge,32,128 GiB,10 Gigabit,4 x 2000 HDD,1.872,Yes,0.7871 (58%)
m6id.8xlarge,32,128 GiB,12500 Megabit,1 x 1900 NVMe SSD,1.8984,Yes,0.7138 (62%)
m5n.8xlarge,32,128 GiB,25 Gigabit,EBS only,1.904,Yes,0.6389 (66%)
c5n.9xlarge,36,96 GiB,50 Gigabit,EBS only,1.944,Yes,0.6143 (68%)
m7g.12xlarge,48,192 GiB,22500 Megabit,EBS only,1.9584,Yes,0.7732 (61%)
inf2.8xlarge,32,128 GiB,Up to 25 Gigabit,EBS only,1.96786,Yes,0.7399 (62%)
m5zn.6xlarge,24,96 GiB,50 Gigabit,EBS only,1.982,Yes,0.7452 (62%)
c7gn.8xlarge,32,64 GiB,100 Gigabit,EBS only,1.9968,Yes,0.6312 (68%)
d3.4xlarge,16,128 GiB,Up to 15 Gigabit,12 x 2000 HDD,1.998,Yes,0.7511 (62%)
m4.10xlarge,40,160 GiB,10 Gigabit,EBS only,2,Yes,0.7520 (62%)
r6i.8xlarge,32,256 GiB,12500 Megabit,EBS only,2.016,Yes,0.7959 (61%)
r5.8xlarge,32,256 GiB,10 Gigabit,EBS only,2.016,Yes,0.7580 (62%)
c5.12xlarge,48,96 GiB,12 Gigabit,EBS only,2.04,Yes,0.7440 (64%)
c6i.12xlarge,48,96 GiB,18750 Megabit,EBS only,2.04,Yes,0.7817 (62%)
m5a.12xlarge,48,192 GiB,10 Gigabit,EBS only,2.064,Yes,0.7761 (62%)
c5ad.12xlarge,48,96 GiB,12 Gigabit,2 x 900 NVMe SSD,2.064,Yes,0.7761 (62%)
c6gn.12xlarge,48,96 GiB,75 Gigabit,EBS only,2.0736,Yes,0.7748 (63%)
m6a.12xlarge,48,192 GiB,18750 Megabit,EBS only,2.0736,Yes,0.8186 (61%)
r5ad.8xlarge,32,256 GiB,Up to 10 Gigabit,2 x 600 NVMe SSD,2.096,Yes,0.7881 (62%)
r7i.8xlarge,32,256 GiB,12500 Megabit,EBS only,2.1168,Yes,0.8357 (61%)
r4.8xlarge,32,244 GiB,10 Gigabit,EBS only,2.128,Yes,0.8001 (62%)
c7i.12xlarge,48,96 GiB,18750 Megabit,EBS only,2.142,Yes,0.8208 (62%)
m6gd.12xlarge,48,192 GiB,20 Gigabit,2 x 1425 NVMe SSD,2.1696,Yes,0.8158 (62%)
g4dn.8xlarge,32,128 GiB,50 Gigabit,900 GB NVMe SSD,2.176,Yes,
c6g.metal,64,128 GiB,25 Gigabit,EBS only,2.176,Yes,0.8182 (62%)
m5dn.8xlarge,32,128 GiB,25 Gigabit,2 x 600 NVMe SSD,2.176,Yes,0.7363 (66%)
c6g.16xlarge,64,128 GiB,25 Gigabit,EBS only,2.176,Yes,0.8182 (62%)
c7gd.12xlarge,48,96 GiB,22500 Megabit,2 x 1425 NVMe SSD,2.1773,Yes,0.7919 (64%)
r7gd.8xlarge,32,256 GiB,15 Gigabit,1 x 1900 NVMe SSD,2.1773,Yes,0.8189 (62%)
m6in.8xlarge,32,128 GiB,50000 Megabit,EBS only,2.22768,Yes,0.7474 (66%)
z1d.6xlarge,24,192 GiB,10 Gigabit,1 x 900 NVMe SSD,2.232,Yes,0.8011 (64%)
g3.8xlarge,32,244 GiB,10 Gigabit,EBS only,2.28,Yes,1.0114 (56%)
m5.12xlarge,48,192 GiB,10 Gigabit,EBS only,2.304,Yes,0.8663 (62%)
m6i.12xlarge,48,192 GiB,18750 Megabit,EBS only,2.304,Yes,0.9096 (61%)
c5d.12xlarge,48,96 GiB,12 Gigabit,2 x 900 NVMe SSD,2.304,Yes,0.8421 (63%)
r5d.8xlarge,32,256 GiB,10 Gigabit,2 x 600 NVMe SSD,2.304,Yes,0.8663 (62%)
is4gen.4xlarge,16,96 GiB,25 Gigabit,2 x 7500 SSD,2.3052,Yes,0.8725 (62%)
c7g.16xlarge,64,128 GiB,30 Gigabit,EBS only,2.3123,Yes,0.8860 (62%)
c7g.metal,64,128 GiB,30 Gigabit,EBS only,2.3123,Yes,0.8860 (62%)
r5b.8xlarge,32,256 GiB,10 Gigabit,EBS only,2.384,Yes,0.8404 (65%)
r5n.8xlarge,32,256 GiB,25 Gigabit,EBS only,2.384,Yes,0.8404 (65%)
c6id.12xlarge,48,96 GiB,18750 Megabit,2 x 1425 NVMe SSD,2.4192,Yes,0.8798 (64%)
m7i.12xlarge,48,192 GiB,18750 Megabit,EBS only,2.4192,Yes,0.9551 (61%)
r6g.12xlarge,48,384 GiB,20 Gigabit,EBS only,2.4192,Yes,0.9096 (62%)
r6id.8xlarge,32,256 GiB,12500 Megabit,1 x 1900 NVMe SSD,2.4192,Yes,0.9099 (62%)
r7a.8xlarge,32,256 GiB,12500 Megabit,EBS only,2.4344,Yes,0.9611 (61%)
g5.8xlarge,32,128 GiB,25 Gigabit,1 x 900 GB NVMe SSD,2.448,Yes,0.9204 (62%)
c6a.16xlarge,64,128 GiB,25000 Megabit,EBS only,2.448,Yes,0.9381 (62%)
c6gd.metal,64,128 GiB,25 Gigabit,2 x 1900 NVMe SSD,2.4576,Yes,0.9240 (62%)
c6gd.16xlarge,64,128 GiB,25 Gigabit,2 x 1900 NVMe SSD,2.4576,Yes,0.9240 (62%)
c7a.12xlarge,48,96 GiB,18750 Megabit,EBS only,2.46336,Yes,0.9439 (62%)
m6g.16xlarge,64,256 GiB,25 Gigabit,EBS only,2.464,Yes,0.9323 (62%)
c5a.16xlarge,64,128 GiB,20 Gigabit,EBS only,2.464,Yes,0.9264 (62%)
m6g.metal,64,256 GiB,25 Gigabit,EBS only,2.464,Yes,0.9323 (62%)
i4g.8xlarge,32,256 GiB,18750 Megabit,2 x 3750 SSD,2.47104,Yes,0.9949 (60%)
m5ad.12xlarge,48,192 GiB,10 Gigabit,2 x 900 NVMe SSD,2.472,Yes,0.9295 (62%)
i3.8xlarge,32,244 GiB,10 Gigabit,4 x 1900 NVMe SSD,2.496,Yes,1.0558 (58%)
m6idn.8xlarge,32,128 GiB,50000 Megabit,1 x 1900 NVMe SSD,2.54592,Yes,0.8615 (66%)
m7gd.12xlarge,48,192 GiB,22500 Megabit,2 x 1425 NVMe SSD,2.5628,Yes,0.9636 (62%)
r7g.12xlarge,48,384 GiB,22500 Megabit,EBS only,2.5704,Yes,1.0148 (61%)
m7g.16xlarge,64,256 GiB,30 Gigabit,EBS only,2.6112,Yes,1.0309 (61%)
m7g.metal,64,256 GiB,30 Gigabit,EBS only,2.6112,Yes,1.0309 (61%)
x2gd.8xlarge,32,512 GiB,12 Gigabit,1 x 1900 SSD,2.672,Yes,0.7944 (70%)
r5dn.8xlarge,32,256 GiB,25 Gigabit,2 x 600 NVMe SSD,2.672,Yes,0.9469 (65%)
r5a.12xlarge,48,384 GiB,10 Gigabit,EBS only,2.712,Yes,1.0197 (62%)
m5d.12xlarge,48,192 GiB,10 Gigabit,2 x 900 NVMe SSD,2.712,Yes,1.0197 (62%)
i3en.6xlarge,24,192 GiB,25 Gigabit,2 x 7500 NVMe SSD,2.712,Yes,1.0271 (62%)
c6i.16xlarge,64,128 GiB,25000 Megabit,EBS only,2.72,Yes,1.0423 (62%)
c6in.12xlarge,48,96 GiB,75000 Megabit,EBS only,2.7216,Yes,0.8601 (68%)
r6a.12xlarge,48,384 GiB,18750 Megabit,EBS only,2.7216,Yes,1.0745 (61%)
i4i.8xlarge,32,256 GiB,18750 Megabit,2 x 3750 NVMe SSD,2.746,Yes,1.1054 (60%)
m5a.16xlarge,64,256 GiB,12 Gigabit,EBS only,2.752,Yes,1.0347 (62%)
c5ad.16xlarge,64,128 GiB,20 Gigabit,2 x 1200 NVMe SSD,2.752,Yes,1.0347 (62%)
c6gn.16xlarge,64,128 GiB,100 Gigabit,EBS only,2.7648,Yes,
m6a.16xlarge,64,256 GiB,25000 Megabit,EBS only,2.7648,Yes,1.0916 (61%)
r6gd.12xlarge,48,384 GiB,20 Gigabit,2 x 1425 NVMe SSD,2.7648,Yes,1.0396 (62%)
m7a.12xlarge,48,192 GiB,18750 Megabit,EBS only,2.78208,Yes,1.0984 (61%)
r6in.8xlarge,32,256 GiB,50000 Megabit,EBS only,2.78928,Yes,0.9830 (65%)
m6id.12xlarge,48,192 GiB,18750 Megabit,2 x 1425 NVMe SSD,2.8476,Yes,1.0707 (62%)
c7i.16xlarge,64,128 GiB,25000 Megabit,EBS only,2.856,Yes,1.0944 (62%)
m5n.12xlarge,48,192 GiB,50 Gigabit,EBS only,2.856,Yes,0.9584 (66%)
hpc6a.48xlarge,96,384 GiB,100 Gigabit,EBS only,2.88,Yes,1.3536 (53%)
m6gd.16xlarge,64,256 GiB,25 Gigabit,2 x 1900 NVMe SSD,2.8928,Yes,1.0877 (62%)
m6gd.metal,64,256 GiB,25 Gigabit,2 x 1900 NVMe SSD,2.8928,Yes,1.0877 (62%)
c7gd.16xlarge,64,128 GiB,30 Gigabit,2 x 1900 NVMe SSD,2.903,Yes,1.0558 (64%)
im4gn.8xlarge,32,128 GiB,50 Gigabit,2 x 7500 SSD,2.91034,Yes,1.1581 (60%)
r7iz.8xlarge,32,256 GiB,12500 Megabit,EBS only,2.976,Yes,1.0682 (64%)
c7gn.12xlarge,48,96 GiB,150 Gigabit,EBS only,2.9952,Yes,0.9468 (68%)
r5.12xlarge,48,384 GiB,10 Gigabit,EBS only,3.024,Yes,1.1370 (62%)
r6i.12xlarge,48,384 GiB,18750 Megabit,EBS only,3.024,Yes,1.1939 (61%)
c5.18xlarge,72,144 GiB,25 Gigabit,EBS only,3.06,Yes,1.1040 (64%)
p3.2xlarge,8,61 GiB,Up to 10 Gigabit,EBS only,3.06,Yes,0.9854 (68%)
m5.16xlarge,64,256 GiB,20 Gigabit,EBS only,3.072,Yes,1.1551 (62%)
m6i.16xlarge,64,256 GiB,25000 Megabit,EBS only,3.072,Yes,1.2128 (61%)
r6idn.8xlarge,32,256 GiB,50000 Megabit,1 x 1900 NVMe SSD,3.12624,Yes,1.1079 (65%)
r5ad.12xlarge,48,384 GiB,10 Gigabit,2 x 900 NVMe SSD,3.144,Yes,1.1822 (62%)
r7i.12xlarge,48,384 GiB,18750 Megabit,EBS only,3.1752,Yes,1.2536 (61%)
m4.16xlarge,64,256 GiB,20 Gigabit,EBS only,3.2,Yes,1.2032 (62%)
r6g.16xlarge,64,512 GiB,25 Gigabit,EBS only,3.2256,Yes,1.2128 (62%)
m7i.16xlarge,64,256 GiB,25000 Megabit,EBS only,3.2256,Yes,1.2735 (61%)
c6id.16xlarge,64,128 GiB,25000 Megabit,2 x 1900 NVMe SSD,3.2256,Yes,1.1731 (64%)
r6g.metal,64,512 GiB,25 Gigabit,EBS only,3.2256,Yes,1.2128 (62%)
m5dn.12xlarge,48,192 GiB,50 Gigabit,2 x 900 GB NVMe SSD,3.264,Yes,1.1045 (66%)
r7gd.12xlarge,48,384 GiB,22500 Megabit,2 x 1425 NVMe SSD,3.2659,Yes,1.2284 (62%)
c7a.16xlarge,64,128 GiB,25000 Megabit,EBS only,3.28448,Yes,1.2586 (62%)
m5ad.16xlarge,64,256 GiB,12 Gigabit,4 x 600 NVMe SSD,3.296,Yes,1.2393 (62%)
x2iedn.4xlarge,16,512 GiB,Up to 25 Gigabit,1 x 475 NVMe SSD,3.3345,Yes,0.9309 (72%)
x1e.4xlarge,16,488 GiB,Up to 10 Gigabit,1 x 480 SSD,3.336,Yes,0.9334 (72%)
m6in.12xlarge,48,192 GiB,75000 Megabit,EBS only,3.34152,Yes,1.1210 (66%)
m7gd.16xlarge,64,256 GiB,30 Gigabit,2 x 1900 NVMe SSD,3.4171,Yes,1.2849 (62%)
r7g.16xlarge,64,512 GiB,30 Gigabit,EBS only,3.4272,Yes,1.3530 (61%)
r7g.metal,64,512 GiB,30 Gigabit,EBS only,3.4272,Yes,1.3530 (61%)
c5d.18xlarge,72,144 GiB,25 Gigabit,2 x 900 NVMe SSD,3.456,Yes,1.2486 (64%)
r5d.12xlarge,48,384 GiB,10 Gigabit,2 x 900 NVMe SSD,3.456,Yes,1.2995 (62%)
g4ad.16xlarge,64,256 GiB,25 Gigabit,2400 GB NVMe SSD,3.468,Yes,1.5219 (56%)
r5b.12xlarge,48,384 GiB,10 Gigabit,EBS only,3.576,Yes,1.2605 (65%)
r5n.12xlarge,48,384 GiB,50 Gigabit,EBS only,3.576,Yes,1.2605 (65%)
m5d.16xlarge,64,256 GiB,20 Gigabit,4 x 600 NVMe SSD,3.616,Yes,1.3596 (62%)
r5a.16xlarge,64,512 GiB,12 Gigabit,EBS only,3.616,Yes,1.3596 (62%)
r6a.16xlarge,64,512 GiB,25000 Megabit,EBS only,3.6288,Yes,1.4326 (61%)
c6in.16xlarge,64,128 GiB,100000 Megabit,EBS only,3.6288,Yes,1.1468 (68%)
r6id.12xlarge,48,384 GiB,18750 Megabit,2 x 1425 NVMe SSD,3.6288,Yes,1.3649 (62%)
r7a.12xlarge,48,384 GiB,18750 Megabit,EBS only,3.6516,Yes,1.4417 (61%)
c6a.24xlarge,96,192 GiB,37500 Megabit,EBS only,3.672,Yes,
r6gd.16xlarge,64,512 GiB,25 Gigabit,2 x 1900 NVMe SSD,3.6864,Yes,1.3861 (62%)
r6gd.metal,64,512 GiB,25 Gigabit,2 x 1900 NVMe SSD,3.6864,Yes,1.3861 (62%)
c5a.24xlarge,96,192 GiB,20 Gigabit,EBS only,3.696,Yes,1.3897 (62%)
m7a.16xlarge,64,256 GiB,25000 Megabit,EBS only,3.70944,Yes,1.4645 (61%)
h1.16xlarge,64,256 GiB,25 Gigabit,8 x 2000 HDD,3.744,Yes,1.5741 (58%)
m6id.16xlarge,64,256 GiB,25000 Megabit,2 x 1900 NVMe SSD,3.7968,Yes,1.4276 (62%)
m5n.16xlarge,64,256 GiB,75 Gigabit,EBS only,3.808,Yes,1.2779 (66%)
m6idn.12xlarge,48,192 GiB,75000 Megabit,2 x 1425 NVMe SSD,3.81888,Yes,1.2923 (66%)
c5n.metal,72,192 GiB,100 Gigabit,EBS only,3.888,Yes,1.2287 (68%)
c5n.18xlarge,72,192 GiB,100 Gigabit,EBS only,3.888,Yes,1.2287 (68%)
g4dn.12xlarge,48,192 GiB,50 Gigabit,900 GB NVMe SSD,3.912,Yes,1.4709 (62%)
m5zn.12xlarge,48,192 GiB,100 Gigabit,EBS only,3.9641,Yes,1.4905 (62%)
m5zn.metal,48,192 GiB,100 Gigabit,EBS only,3.9641,Yes,1.4905 (62%)
c7gn.16xlarge,64,128 GiB,200 Gigabit,EBS only,3.9936,Yes,1.2625 (68%)
d3.8xlarge,32,256 GiB,25 Gigabit,24 x 2000 HDD,3.99552,Yes,1.5023 (62%)
x2gd.12xlarge,48,768 GiB,20 Gigabit,2 x 1425 SSD,4.008,Yes,1.1917 (70%)
r5dn.12xlarge,48,384 GiB,50 Gigabit,2 x 900 GB NVMe SSD,4.008,Yes,1.4204 (65%)
r5.16xlarge,64,512 GiB,20 Gigabit,EBS only,4.032,Yes,1.5160 (62%)
r6i.16xlarge,64,512 GiB,25000 Megabit,EBS only,4.032,Yes,1.5918 (61%)
c6i.24xlarge,96,192 GiB,37500 Megabit,EBS only,4.08,Yes,1.5634 (62%)
c5.24xlarge,96,192 GiB,25 Gigabit,EBS only,4.08,Yes,1.4881 (64%)
c5.metal,96,192 GiB,25 Gigabit,EBS only,4.08,Yes,1.4881 (64%)
g5.16xlarge,64,256 GiB,25 Gigabit,1 x 1900 GB NVMe SSD,4.096,Yes,1.5401 (62%)
i4i.12xlarge,48,384 GiB,28125 Megabit,3 x 3750 NVMe SSD,4.118,Yes,1.6581 (60%)
m5a.24xlarge,96,384 GiB,20 Gigabit,EBS only,4.128,Yes,1.5521 (62%)
c5ad.24xlarge,96,192 GiB,20 Gigabit,2 x 1900 NVMe SSD,4.128,Yes,1.5521 (62%)
m6a.24xlarge,96,384 GiB,37500 Megabit,EBS only,4.1472,Yes,1.6373 (61%)
r6in.12xlarge,48,384 GiB,75000 Megabit,EBS only,4.18392,Yes,1.4744 (65%)
r5ad.16xlarge,64,512 GiB,12 Gigabit,4 x 600 NVMe SSD,4.192,Yes,1.5762 (62%)
r7i.16xlarge,64,512 GiB,25000 Megabit,EBS only,4.2336,Yes,1.6714 (61%)
r4.16xlarge,64,488 GiB,20 Gigabit,EBS only,4.256,Yes,1.6003 (62%)
c7i.24xlarge,96,192 GiB,37500 Megabit,EBS only,4.284,Yes,1.6416 (62%)
c7i.metal-24xl,96,192 GiB,37500 Megabit,EBS only,4.284,Yes,1.6416 (62%)
m5dn.16xlarge,64,256 GiB,75 Gigabit,4 x 600 NVMe SSD,4.352,Yes,1.4727 (66%)
g4dn.16xlarge,64,256 GiB,50 Gigabit,900 GB NVMe SSD,4.352,Yes,1.6363 (62%)
r7gd.16xlarge,64,512 GiB,30 Gigabit,2 x 1900 NVMe SSD,4.3546,Yes,1.6379 (62%)
m6in.16xlarge,64,256 GiB,100000 Megabit,EBS only,4.45536,Yes,1.4947 (66%)
z1d.metal,48,384 GiB,25 Gigabit,2 x 900 NVMe SSD,4.464,Yes,1.6022 (64%)
r7iz.12xlarge,48,384 GiB,25000 Megabit,EBS only,4.464,Yes,1.6022 (64%)
z1d.12xlarge,48,384 GiB,25 Gigabit,2 x 900 NVMe SSD,4.464,Yes,1.6022 (64%)
g3.16xlarge,64,488 GiB,20 Gigabit,EBS only,4.56,Yes,2.0228 (56%)
m6i.24xlarge,96,384 GiB,37500 Megabit,EBS only,4.608,Yes,1.8193 (61%)
m5.24xlarge,96,384 GiB,25 Gigabit,EBS only,4.608,Yes,1.7326 (62%)
m5.metal,96,384 GiB,25 Gigabit,EBS only,4.608,Yes,1.7326 (62%)
c5d.metal,96,192 GiB,25 Gigabit,4 x 900 NVMe SSD,4.608,Yes,1.6842 (63%)
r5d.16xlarge,64,512 GiB,20 Gigabit,4 x 600 NVMe SSD,4.608,Yes,1.7326 (62%)
c5d.24xlarge,96,192 GiB,25 Gigabit,4 x 900 NVMe SSD,4.608,Yes,1.6842 (63%)
is4gen.8xlarge,32,192 GiB,50 Gigabit,4 x 7500 SSD,4.6104,Yes,1.7450 (62%)
r6idn.12xlarge,48,384 GiB,75000 Megabit,2 x 1425 NVMe SSD,4.68936,Yes,1.6618 (65%)
inf1.24xlarge,96,192 GiB,100 Gigabit,EBS only,4.721,Yes,